Gene;Cell Line;Experimental Condition;CT Value
18s;A549;24h NX;7,249
18s;A549;24h NX;7,497
18s;A549;24h NX;7,48
18s;A549;24h NX;8,225
18s;A549;24h NX;8,023
18s;A549;24h NX;
18s;A549;24h HX;7,701
18s;A549;24h HX;7,955
18s;A549;24h HX;7,938
18s;A549;24h HX;8,336
18s;A549;24h HX;8,194
18s;A549;24h HX;
18s;A549;72h HX;7,834
18s;A549;72h HX;8,047
18s;A549;72h HX;7,331
18s;A549;72h HX;7,983
18s;A549;72h HX;7,885
18s;A549;72h HX;
ActB;A549;24h NX;17,331
ActB;A549;24h NX;16,798
ActB;A549;24h NX;16,971
ActB;A549;24h NX;17,37
ActB;A549;24h NX;16,764
ActB;A549;24h NX;
ActB;A549;24h HX;17,024
ActB;A549;24h HX;17,201
ActB;A549;24h HX;17,255
ActB;A549;24h HX;17,536
ActB;A549;24h HX;17,505
ActB;A549;24h HX;
ActB;A549;72h HX;16,863
ActB;A549;72h HX;17,081
ActB;A549;72h HX;16,508
ActB;A549;72h HX;16,927
ActB;A549;72h HX;17,001
ActB;A549;72h HX;
B2M;A549;24h NX;22,213
B2M;A549;24h NX;22,06
B2M;A549;24h NX;22,269
B2M;A549;24h NX;23,034
B2M;A549;24h NX;22,204
B2M;A549;24h NX;
B2M;A549;24h HX;22,266
B2M;A549;24h HX;22,332
B2M;A549;24h HX;22,948
B2M;A549;24h HX;23,135
B2M;A549;24h HX;22,95
B2M;A549;24h HX;
B2M;A549;72h HX;22,108
B2M;A549;72h HX;22,336
B2M;A549;72h HX;21,805
B2M;A549;72h HX;22,079
B2M;A549;72h HX;22,1
B2M;A549;72h HX;
GAPDH;A549;24h NX;19,03
GAPDH;A549;24h NX;18,969
GAPDH;A549;24h NX;18,939
GAPDH;A549;24h NX;19,475
GAPDH;A549;24h NX;18,88
GAPDH;A549;24h NX;
GAPDH;A549;24h HX;18,5
GAPDH;A549;24h HX;18,508
GAPDH;A549;24h HX;18,473
GAPDH;A549;24h HX;18,758
GAPDH;A549;24h HX;18,662
GAPDH;A549;24h HX;
GAPDH;A549;72h HX;18,912
GAPDH;A549;72h HX;18,91
GAPDH;A549;72h HX;18,423
GAPDH;A549;72h HX;18,751
GAPDH;A549;72h HX;18,632
GAPDH;A549;72h HX;
PPIA;A549;24h NX;25,774
PPIA;A549;24h NX;25,697
PPIA;A549;24h NX;26,148
PPIA;A549;24h NX;26,85
PPIA;A549;24h NX;26,368
PPIA;A549;24h NX;
PPIA;A549;24h HX;25,586
PPIA;A549;24h HX;25,866
PPIA;A549;24h HX;25,989
PPIA;A549;24h HX;26,41
PPIA;A549;24h HX;26,354
PPIA;A549;24h HX;
PPIA;A549;72h HX;25,284
PPIA;A549;72h HX;25,378
PPIA;A549;72h HX;25,098
PPIA;A549;72h HX;25,479
PPIA;A549;72h HX;25,492
PPIA;A549;72h HX;
RPL13a;A549;24h NX;21,884
RPL13a;A549;24h NX;21,965
RPL13a;A549;24h NX;21,968
RPL13a;A549;24h NX;22,449
RPL13a;A549;24h NX;22,204
RPL13a;A549;24h NX;
RPL13a;A549;24h HX;21,619
RPL13a;A549;24h HX;21,688
RPL13a;A549;24h HX;21,964
RPL13a;A549;24h HX;22,276
RPL13a;A549;24h HX;22,074
RPL13a;A549;24h HX;
RPL13a;A549;72h HX;21,777
RPL13a;A549;72h HX;21,896
RPL13a;A549;72h HX;21,451
RPL13a;A549;72h HX;21,788
RPL13a;A549;72h HX;21,808
RPL13a;A549;72h HX;
RPLP1;A549;24h NX;19,998
RPLP1;A549;24h NX;20,177
RPLP1;A549;24h NX;20,26
RPLP1;A549;24h NX;20,558
RPLP1;A549;24h NX;20,696
RPLP1;A549;24h NX;
RPLP1;A549;24h HX;19,981
RPLP1;A549;24h HX;20,117
RPLP1;A549;24h HX;20,408
RPLP1;A549;24h HX;20,607
RPLP1;A549;24h HX;20,588
RPLP1;A549;24h HX;
RPLP1;A549;72h HX;19,796
RPLP1;A549;72h HX;20,03
RPLP1;A549;72h HX;19,811
RPLP1;A549;72h HX;20,048
RPLP1;A549;72h HX;20,39
RPLP1;A549;72h HX;
SDHA;A549;24h NX;24,726
SDHA;A549;24h NX;24,595
SDHA;A549;24h NX;24,763
SDHA;A549;24h NX;25,404
SDHA;A549;24h NX;24,571
SDHA;A549;24h NX;
SDHA;A549;24h HX;24,955
SDHA;A549;24h HX;25,119
SDHA;A549;24h HX;25,274
SDHA;A549;24h HX;25,563
SDHA;A549;24h HX;25,33
SDHA;A549;24h HX;
SDHA;A549;72h HX;25,153
SDHA;A549;72h HX;25,33
SDHA;A549;72h HX;24,739
SDHA;A549;72h HX;25,16
SDHA;A549;72h HX;25,082
SDHA;A549;72h HX;
TBP;A549;24h NX;25,749
TBP;A549;24h NX;25,666
TBP;A549;24h NX;25,677
TBP;A549;24h NX;26,292
TBP;A549;24h NX;25,477
TBP;A549;24h NX;
TBP;A549;24h HX;25,954
TBP;A549;24h HX;26,019
TBP;A549;24h HX;26,578
TBP;A549;24h HX;26,748
TBP;A549;24h HX;26,717
TBP;A549;24h HX;
TBP;A549;72h HX;25,945
TBP;A549;72h HX;26,002
TBP;A549;72h HX;25,629
TBP;A549;72h HX;25,988
TBP;A549;72h HX;26,026
TBP;A549;72h HX;
18s;HPAEC;24h NX;7,78
18s;HPAEC;24h NX;7,737
18s;HPAEC;24h NX;7,625
18s;HPAEC;24h NX;7,19
18s;HPAEC;24h NX;7,486
18s;HPAEC;24h NX;8,035
18s;HPAEC;24h HX;8,02
18s;HPAEC;24h HX;7,452
18s;HPAEC;24h HX;7,393
18s;HPAEC;24h HX;7,536
18s;HPAEC;24h HX;7,428
18s;HPAEC;24h HX;7,686
18s;HPAEC;72h HX;7,905
18s;HPAEC;72h HX;7,501
18s;HPAEC;72h HX;7,411
18s;HPAEC;72h HX;7,169
18s;HPAEC;72h HX;7,12
18s;HPAEC;72h HX;7,484
ActB;HPAEC;24h NX;16,82
ActB;HPAEC;24h NX;16,711
ActB;HPAEC;24h NX;16,838
ActB;HPAEC;24h NX;16,803
ActB;HPAEC;24h NX;16,857
ActB;HPAEC;24h NX;16,975
ActB;HPAEC;24h HX;16,948
ActB;HPAEC;24h HX;16,67
ActB;HPAEC;24h HX;16,709
ActB;HPAEC;24h HX;16,901
ActB;HPAEC;24h HX;16,757
ActB;HPAEC;24h HX;16,997
ActB;HPAEC;72h HX;16,627
ActB;HPAEC;72h HX;16,666
ActB;HPAEC;72h HX;16,657
ActB;HPAEC;72h HX;16,531
ActB;HPAEC;72h HX;16,636
ActB;HPAEC;72h HX;16,827
B2M;HPAEC;24h NX;20,726
B2M;HPAEC;24h NX;20,885
B2M;HPAEC;24h NX;20,878
B2M;HPAEC;24h NX;21,03
B2M;HPAEC;24h NX;20,7
B2M;HPAEC;24h NX;20,945
B2M;HPAEC;24h HX;21,187
B2M;HPAEC;24h HX;20,994
B2M;HPAEC;24h HX;20,825
B2M;HPAEC;24h HX;21,16
B2M;HPAEC;24h HX;20,763
B2M;HPAEC;24h HX;20,86
B2M;HPAEC;72h HX;20,806
B2M;HPAEC;72h HX;20,57
B2M;HPAEC;72h HX;20,662
B2M;HPAEC;72h HX;20,649
B2M;HPAEC;72h HX;20,671
B2M;HPAEC;72h HX;20,765
GAPDH;HPAEC;24h NX;19,916
GAPDH;HPAEC;24h NX;19,742
GAPDH;HPAEC;24h NX;19,875
GAPDH;HPAEC;24h NX;19,677
GAPDH;HPAEC;24h NX;19,64
GAPDH;HPAEC;24h NX;19,842
GAPDH;HPAEC;24h HX;19,665
GAPDH;HPAEC;24h HX;19,493
GAPDH;HPAEC;24h HX;19,358
GAPDH;HPAEC;24h HX;19,45
GAPDH;HPAEC;24h HX;19,17
GAPDH;HPAEC;24h HX;19,493
GAPDH;HPAEC;72h HX;19,742
GAPDH;HPAEC;72h HX;19,429
GAPDH;HPAEC;72h HX;19,36
GAPDH;HPAEC;72h HX;19,392
GAPDH;HPAEC;72h HX;19,383
GAPDH;HPAEC;72h HX;19,51
PPIA;HPAEC;24h NX;26,194
PPIA;HPAEC;24h NX;26,083
PPIA;HPAEC;24h NX;26,056
PPIA;HPAEC;24h NX;25,946
PPIA;HPAEC;24h NX;25,976
PPIA;HPAEC;24h NX;26,165
PPIA;HPAEC;24h HX;26,533
PPIA;HPAEC;24h HX;25,945
PPIA;HPAEC;24h HX;25,688
PPIA;HPAEC;24h HX;25,984
PPIA;HPAEC;24h HX;25,778
PPIA;HPAEC;24h HX;26,127
PPIA;HPAEC;72h HX;26,505
PPIA;HPAEC;72h HX;26,017
PPIA;HPAEC;72h HX;25,885
PPIA;HPAEC;72h HX;25,671
PPIA;HPAEC;72h HX;25,409
PPIA;HPAEC;72h HX;25,716
RPL13a;HPAEC;24h NX;22,53
RPL13a;HPAEC;24h NX;22,46
RPL13a;HPAEC;24h NX;22,406
RPL13a;HPAEC;24h NX;22,285
RPL13a;HPAEC;24h NX;22,165
RPL13a;HPAEC;24h NX;22,494
RPL13a;HPAEC;24h HX;22,934
RPL13a;HPAEC;24h HX;22,218
RPL13a;HPAEC;24h HX;22,108
RPL13a;HPAEC;24h HX;22,239
RPL13a;HPAEC;24h HX;22,015
RPL13a;HPAEC;24h HX;22,221
RPL13a;HPAEC;72h HX;23,087
RPL13a;HPAEC;72h HX;22,421
RPL13a;HPAEC;72h HX;22,269
RPL13a;HPAEC;72h HX;22,207
RPL13a;HPAEC;72h HX;22,119
RPL13a;HPAEC;72h HX;22,321
RPLP1;HPAEC;24h NX;21,22
RPLP1;HPAEC;24h NX;21,22
RPLP1;HPAEC;24h NX;20,933
RPLP1;HPAEC;24h NX;21,128
RPLP1;HPAEC;24h NX;20,929
RPLP1;HPAEC;24h NX;21,466
RPLP1;HPAEC;24h HX;21,573
RPLP1;HPAEC;24h HX;21,045
RPLP1;HPAEC;24h HX;20,978
RPLP1;HPAEC;24h HX;21,094
RPLP1;HPAEC;24h HX;20,943
RPLP1;HPAEC;24h HX;21,169
RPLP1;HPAEC;72h HX;21,384
RPLP1;HPAEC;72h HX;21,026
RPLP1;HPAEC;72h HX;20,648
RPLP1;HPAEC;72h HX;20,452
RPLP1;HPAEC;72h HX;20,545
RPLP1;HPAEC;72h HX;20,861
SDHA;HPAEC;24h NX;24,719
SDHA;HPAEC;24h NX;24,738
SDHA;HPAEC;24h NX;24,755
SDHA;HPAEC;24h NX;24,956
SDHA;HPAEC;24h NX;24,914
SDHA;HPAEC;24h NX;24,968
SDHA;HPAEC;24h HX;25,382
SDHA;HPAEC;24h HX;25,058
SDHA;HPAEC;24h HX;25,063
SDHA;HPAEC;24h HX;25,069
SDHA;HPAEC;24h HX;24,873
SDHA;HPAEC;24h HX;25,224
SDHA;HPAEC;72h HX;25,215
SDHA;HPAEC;72h HX;24,918
SDHA;HPAEC;72h HX;24,963
SDHA;HPAEC;72h HX;25,254
SDHA;HPAEC;72h HX;25,004
SDHA;HPAEC;72h HX;25,016
TBP;HPAEC;24h NX;26,764
TBP;HPAEC;24h NX;25,725
TBP;HPAEC;24h NX;26,009
TBP;HPAEC;24h NX;25,943
TBP;HPAEC;24h NX;25,61
TBP;HPAEC;24h NX;25,947
TBP;HPAEC;24h HX;26,459
TBP;HPAEC;24h HX;26,233
TBP;HPAEC;24h HX;26,009
TBP;HPAEC;24h HX;26,225
TBP;HPAEC;24h HX;25,925
TBP;HPAEC;24h HX;26,227
TBP;HPAEC;72h HX;26,158
TBP;HPAEC;72h HX;25,952
TBP;HPAEC;72h HX;26,237
TBP;HPAEC;72h HX;25,913
TBP;HPAEC;72h HX;26,015
TBP;HPAEC;72h HX;25,96
18s;HCAEC;24h NX;8,084
18s;HCAEC;24h NX;8,114
18s;HCAEC;24h NX;7,226
18s;HCAEC;24h NX;7,932
18s;HCAEC;24h NX;7,372
18s;HCAEC;24h NX;8,956
18s;HCAEC;24h HX;7,91
18s;HCAEC;24h HX;7,964
18s;HCAEC;24h HX;7,653
18s;HCAEC;24h HX;8,026
18s;HCAEC;24h HX;8,183
18s;HCAEC;24h HX;8,263
18s;HCAEC;72h HX;7,915
18s;HCAEC;72h HX;7,697
18s;HCAEC;72h HX;8,48
18s;HCAEC;72h HX;7,91
18s;HCAEC;72h HX;7,816
18s;HCAEC;72h HX;7,795
ActB;HCAEC;24h NX;16,683
ActB;HCAEC;24h NX;16,617
ActB;HCAEC;24h NX;16,149
ActB;HCAEC;24h NX;16,802
ActB;HCAEC;24h NX;16,139
ActB;HCAEC;24h NX;17,433
ActB;HCAEC;24h HX;16,757
ActB;HCAEC;24h HX;16,38
ActB;HCAEC;24h HX;16,75
ActB;HCAEC;24h HX;16,655
ActB;HCAEC;24h HX;16,781
ActB;HCAEC;24h HX;16,984
ActB;HCAEC;72h HX;16,78
ActB;HCAEC;72h HX;16,726
ActB;HCAEC;72h HX;17,139
ActB;HCAEC;72h HX;16,936
ActB;HCAEC;72h HX;16,612
ActB;HCAEC;72h HX;16,579
B2M;HCAEC;24h NX;21,141
B2M;HCAEC;24h NX;21,131
B2M;HCAEC;24h NX;20,118
B2M;HCAEC;24h NX;20,896
B2M;HCAEC;24h NX;20,564
B2M;HCAEC;24h NX;21,466
B2M;HCAEC;24h HX;21,27
B2M;HCAEC;24h HX;20,852
B2M;HCAEC;24h HX;20,611
B2M;HCAEC;24h HX;20,968
B2M;HCAEC;24h HX;20,655
B2M;HCAEC;24h HX;20,637
B2M;HCAEC;72h HX;21,485
B2M;HCAEC;72h HX;21,309
B2M;HCAEC;72h HX;21,231
B2M;HCAEC;72h HX;21,145
B2M;HCAEC;72h HX;20,789
B2M;HCAEC;72h HX;20,583
GAPDH;HCAEC;24h NX;20,195
GAPDH;HCAEC;24h NX;19,768
GAPDH;HCAEC;24h NX;19,331
GAPDH;HCAEC;24h NX;20,479
GAPDH;HCAEC;24h NX;19,691
GAPDH;HCAEC;24h NX;20,977
GAPDH;HCAEC;24h HX;19,452
GAPDH;HCAEC;24h HX;19,728
GAPDH;HCAEC;24h HX;19,701
GAPDH;HCAEC;24h HX;19,687
GAPDH;HCAEC;24h HX;19,863
GAPDH;HCAEC;24h HX;19,871
GAPDH;HCAEC;72h HX;20,443
GAPDH;HCAEC;72h HX;19,968
GAPDH;HCAEC;72h HX;19,912
GAPDH;HCAEC;72h HX;19,522
GAPDH;HCAEC;72h HX;19,803
GAPDH;HCAEC;72h HX;19,667
PPIA;HCAEC;24h NX;25,763
PPIA;HCAEC;24h NX;26,405
PPIA;HCAEC;24h NX;25,097
PPIA;HCAEC;24h NX;25,882
PPIA;HCAEC;24h NX;25,356
PPIA;HCAEC;24h NX;26,185
PPIA;HCAEC;24h HX;26,048
PPIA;HCAEC;24h HX;26,065
PPIA;HCAEC;24h HX;25,686
PPIA;HCAEC;24h HX;26,041
PPIA;HCAEC;24h HX;26,1
PPIA;HCAEC;24h HX;25,811
PPIA;HCAEC;72h HX;26,237
PPIA;HCAEC;72h HX;25,927
PPIA;HCAEC;72h HX;25,862
PPIA;HCAEC;72h HX;26,278
PPIA;HCAEC;72h HX;25,84
PPIA;HCAEC;72h HX;25,952
RPL13a;HCAEC;24h NX;22,782
RPL13a;HCAEC;24h NX;23,345
RPL13a;HCAEC;24h NX;22,461
RPL13a;HCAEC;24h NX;22,956
RPL13a;HCAEC;24h NX;22,416
RPL13a;HCAEC;24h NX;23,553
RPL13a;HCAEC;24h HX;22,98
RPL13a;HCAEC;24h HX;22,894
RPL13a;HCAEC;24h HX;22,919
RPL13a;HCAEC;24h HX;23,008
RPL13a;HCAEC;24h HX;22,99
RPL13a;HCAEC;24h HX;22,842
RPL13a;HCAEC;72h HX;23,168
RPL13a;HCAEC;72h HX;23,233
RPL13a;HCAEC;72h HX;23,428
RPL13a;HCAEC;72h HX;23,171
RPL13a;HCAEC;72h HX;23,323
RPL13a;HCAEC;72h HX;22,936
RPLP1;HCAEC;24h NX;21,194
RPLP1;HCAEC;24h NX;21,259
RPLP1;HCAEC;24h NX;20,311
RPLP1;HCAEC;24h NX;20,901
RPLP1;HCAEC;24h NX;20,627
RPLP1;HCAEC;24h NX;21,809
RPLP1;HCAEC;24h HX;21,022
RPLP1;HCAEC;24h HX;21,082
RPLP1;HCAEC;24h HX;20,924
RPLP1;HCAEC;24h HX;20,875
RPLP1;HCAEC;24h HX;21,183
RPLP1;HCAEC;24h HX;21,198
RPLP1;HCAEC;72h HX;21,168
RPLP1;HCAEC;72h HX;21,014
RPLP1;HCAEC;72h HX;21,406
RPLP1;HCAEC;72h HX;21,152
RPLP1;HCAEC;72h HX;20,999
RPLP1;HCAEC;72h HX;20,995
SDHA;HCAEC;24h NX;24,648
SDHA;HCAEC;24h NX;25,9
SDHA;HCAEC;24h NX;24,749
SDHA;HCAEC;24h NX;25,45
SDHA;HCAEC;24h NX;24,61
SDHA;HCAEC;24h NX;26,084
SDHA;HCAEC;24h HX;25,557
SDHA;HCAEC;24h HX;29,804
SDHA;HCAEC;24h HX;25,398
SDHA;HCAEC;24h HX;25,575
SDHA;HCAEC;24h HX;25,619
SDHA;HCAEC;24h HX;25,546
SDHA;HCAEC;72h HX;25,178
SDHA;HCAEC;72h HX;25,558
SDHA;HCAEC;72h HX;25,551
SDHA;HCAEC;72h HX;25,929
SDHA;HCAEC;72h HX;25,566
SDHA;HCAEC;72h HX;25,765
TBP;HCAEC;24h NX;26,363
TBP;HCAEC;24h NX;26,416
TBP;HCAEC;24h NX;25,96
TBP;HCAEC;24h NX;26,444
TBP;HCAEC;24h NX;26,064
TBP;HCAEC;24h NX;26,946
TBP;HCAEC;24h HX;26,947
TBP;HCAEC;24h HX;26,963
TBP;HCAEC;24h HX;26,612
TBP;HCAEC;24h HX;26,788
TBP;HCAEC;24h HX;26,762
TBP;HCAEC;24h HX;26,633
TBP;HCAEC;72h HX;26,932
TBP;HCAEC;72h HX;26,818
TBP;HCAEC;72h HX;26,938
TBP;HCAEC;72h HX;26,99
TBP;HCAEC;72h HX;26,704
TBP;HCAEC;72h HX;26,57
18s;Eahy.926;24h NX;7,834
18s;Eahy.926;24h NX;7,905
18s;Eahy.926;24h NX;7,749
18s;Eahy.926;24h NX;8,061
18s;Eahy.926;24h NX;9,328
18s;Eahy.926;24h NX;8,695
18s;Eahy.926;24h HX;10,51
18s;Eahy.926;24h HX;8,231
18s;Eahy.926;24h HX;9,338
18s;Eahy.926;24h HX;9,146
18s;Eahy.926;24h HX;8,599
18s;Eahy.926;24h HX;8,841
18s;Eahy.926;72h HX;9,2
18s;Eahy.926;72h HX;8,577
18s;Eahy.926;72h HX;8,806
18s;Eahy.926;72h HX;8,46
18s;Eahy.926;72h HX;8,08
18s;Eahy.926;72h HX;8,212
ActB;Eahy.926;24h NX;17,041
ActB;Eahy.926;24h NX;17,003
ActB;Eahy.926;24h NX;17,136
ActB;Eahy.926;24h NX;16,869
ActB;Eahy.926;24h NX;16,751
ActB;Eahy.926;24h NX;16,892
ActB;Eahy.926;24h HX;18,155
ActB;Eahy.926;24h HX;17,393
ActB;Eahy.926;24h HX;17,975
ActB;Eahy.926;24h HX;16,908
ActB;Eahy.926;24h HX;17,153
ActB;Eahy.926;24h HX;16,56
ActB;Eahy.926;72h HX;18,531
ActB;Eahy.926;72h HX;17,994
ActB;Eahy.926;72h HX;18,149
ActB;Eahy.926;72h HX;19,353
ActB;Eahy.926;72h HX;18,73
ActB;Eahy.926;72h HX;18,107
B2M;Eahy.926;24h NX;22,352
B2M;Eahy.926;24h NX;22,586
B2M;Eahy.926;24h NX;22,332
B2M;Eahy.926;24h NX;22,657
B2M;Eahy.926;24h NX;22,687
B2M;Eahy.926;24h NX;22,777
B2M;Eahy.926;24h HX;23,869
B2M;Eahy.926;24h HX;22,629
B2M;Eahy.926;24h HX;23,323
B2M;Eahy.926;24h HX;23,254
B2M;Eahy.926;24h HX;22,725
B2M;Eahy.926;24h HX;22,614
B2M;Eahy.926;72h HX;23,064
B2M;Eahy.926;72h HX;22,717
B2M;Eahy.926;72h HX;22,835
B2M;Eahy.926;72h HX;23,859
B2M;Eahy.926;72h HX;22,938
B2M;Eahy.926;72h HX;22,794
GAPDH;Eahy.926;24h NX;19,179
GAPDH;Eahy.926;24h NX;19,217
GAPDH;Eahy.926;24h NX;19,198
GAPDH;Eahy.926;24h NX;19,16
GAPDH;Eahy.926;24h NX;18,496
GAPDH;Eahy.926;24h NX;19
GAPDH;Eahy.926;24h HX;19,093
GAPDH;Eahy.926;24h HX;19,157
GAPDH;Eahy.926;24h HX;19,666
GAPDH;Eahy.926;24h HX;18,399
GAPDH;Eahy.926;24h HX;19,059
GAPDH;Eahy.926;24h HX;18,603
GAPDH;Eahy.926;72h HX;19,145
GAPDH;Eahy.926;72h HX;18,678
GAPDH;Eahy.926;72h HX;18,759
GAPDH;Eahy.926;72h HX;20,538
GAPDH;Eahy.926;72h HX;19,992
GAPDH;Eahy.926;72h HX;19,396
PPIA;Eahy.926;24h NX;25,496
PPIA;Eahy.926;24h NX;25,319
PPIA;Eahy.926;24h NX;25,407
PPIA;Eahy.926;24h NX;26,564
PPIA;Eahy.926;24h NX;27,249
PPIA;Eahy.926;24h NX;26,988
PPIA;Eahy.926;24h HX;27,311
PPIA;Eahy.926;24h HX;25,81
PPIA;Eahy.926;24h HX;26,662
PPIA;Eahy.926;24h HX;27,14
PPIA;Eahy.926;24h HX;26,649
PPIA;Eahy.926;24h HX;26,746
PPIA;Eahy.926;72h HX;27,213
PPIA;Eahy.926;72h HX;26,898
PPIA;Eahy.926;72h HX;26,505
PPIA;Eahy.926;72h HX;27,222
PPIA;Eahy.926;72h HX;26,682
PPIA;Eahy.926;72h HX;26,778
RPL13a;Eahy.926;24h NX;22,319
RPL13a;Eahy.926;24h NX;22,384
RPL13a;Eahy.926;24h NX;22,173
RPL13a;Eahy.926;24h NX;22,781
RPL13a;Eahy.926;24h NX;23,413
RPL13a;Eahy.926;24h NX;23,041
RPL13a;Eahy.926;24h HX;23,864
RPL13a;Eahy.926;24h HX;22,385
RPL13a;Eahy.926;24h HX;23,251
RPL13a;Eahy.926;24h HX;23,389
RPL13a;Eahy.926;24h HX;22,94
RPL13a;Eahy.926;24h HX;23,01
RPL13a;Eahy.926;72h HX;22,736
RPL13a;Eahy.926;72h HX;22,116
RPL13a;Eahy.926;72h HX;22,051
RPL13a;Eahy.926;72h HX;22,511
RPL13a;Eahy.926;72h HX;22,069
RPL13a;Eahy.926;72h HX;22,172
RPLP1;Eahy.926;24h NX;20,21
RPLP1;Eahy.926;24h NX;20,231
RPLP1;Eahy.926;24h NX;20,103
RPLP1;Eahy.926;24h NX;21,058
RPLP1;Eahy.926;24h NX;21,459
RPLP1;Eahy.926;24h NX;21,164
RPLP1;Eahy.926;24h HX;21,338
RPLP1;Eahy.926;24h HX;20,251
RPLP1;Eahy.926;24h HX;20,923
RPLP1;Eahy.926;24h HX;21,334
RPLP1;Eahy.926;24h HX;21,178
RPLP1;Eahy.926;24h HX;21,215
RPLP1;Eahy.926;72h HX;21,131
RPLP1;Eahy.926;72h HX;20,496
RPLP1;Eahy.926;72h HX;20,688
RPLP1;Eahy.926;72h HX;20,863
RPLP1;Eahy.926;72h HX;20,217
RPLP1;Eahy.926;72h HX;20,319
SDHA;Eahy.926;24h NX;24,038
SDHA;Eahy.926;24h NX;24,152
SDHA;Eahy.926;24h NX;23,933
SDHA;Eahy.926;24h NX;23,964
SDHA;Eahy.926;24h NX;24,09
SDHA;Eahy.926;24h NX;24,137
SDHA;Eahy.926;24h HX;25,077
SDHA;Eahy.926;24h HX;24,261
SDHA;Eahy.926;24h HX;24,939
SDHA;Eahy.926;24h HX;23,979
SDHA;Eahy.926;24h HX;24,166
SDHA;Eahy.926;24h HX;23,745
SDHA;Eahy.926;72h HX;25,217
SDHA;Eahy.926;72h HX;24,65
SDHA;Eahy.926;72h HX;24,657
SDHA;Eahy.926;72h HX;25,699
SDHA;Eahy.926;72h HX;25,16
SDHA;Eahy.926;72h HX;24,776
TBP;Eahy.926;24h NX;25,512
TBP;Eahy.926;24h NX;25,697
TBP;Eahy.926;24h NX;25,653
TBP;Eahy.926;24h NX;25,996
TBP;Eahy.926;24h NX;25,463
TBP;Eahy.926;24h NX;25,911
TBP;Eahy.926;24h HX;26,232
TBP;Eahy.926;24h HX;25,917
TBP;Eahy.926;24h HX;26,18
TBP;Eahy.926;24h HX;25,86
TBP;Eahy.926;24h HX;26,188
TBP;Eahy.926;24h HX;25,806
TBP;Eahy.926;72h HX;25,866
TBP;Eahy.926;72h HX;25,533
TBP;Eahy.926;72h HX;25,688
TBP;Eahy.926;72h HX;27,142
TBP;Eahy.926;72h HX;26,341
TBP;Eahy.926;72h HX;25,836
